,BlindOrSighted,RandomInterceptByID,Scene,Condition,TrialNumber,Success,Delay,SoundType,NumOfOverlaps,OverlapRWVR,OverlapFP,VisualFeedback
0,blind,1,scene1,proxies_data,1,1,1.5339869000000004,VR_FOCUS,2,RW+VR,F+P,
1,blind,1,scene1,proxies_data,1,1,2.0999513000000007,RW_FOCUS,2,RW,F+P,
2,blind,1,scene1,proxies_data,1,1,1.0000940000000007,VR_PERIPHERAL,2,RW+VR,P,
3,blind,1,scene1,proxies_data,1,1,1.6027840999999974,RW_PERIPHERAL,3,RW+VR,F+P,
4,blind,1,scene1,proxies_data,1,1,0.8018235999999987,VR_PERIPHERAL,2,RW+VR,P,
5,blind,1,scene1,proxies_data,1,1,1.3332960000000043,RW_PERIPHERAL,4,RW+VR,F+P,
6,blind,1,scene1,proxies_data,1,1,0.9334874999999982,VR_PERIPHERAL,3,RW+VR,F+P,
7,blind,1,scene1,proxies_data,1,1,1.4000521000000035,VR_FOCUS,2,RW+VR,F+P,
8,blind,1,scene1,proxies_data,1,1,0.833320999999998,VR_PERIPHERAL,2,RW+VR,P,
9,blind,1,scene1,proxies_data,1,1,1.7335630000000037,RW_PERIPHERAL,3,RW+VR,F+P,
10,blind,1,scene1,proxies_data,1,1,1.2000488999999988,RW_PERIPHERAL,4,RW+VR,F+P,
11,blind,1,scene1,proxies_data,1,1,1.6001040000000017,VR_FOCUS,1,VR,F,
12,blind,1,scene1,proxies_data,1,1,1.3666370000000043,VR_FOCUS,2,RW+VR,F+P,
13,blind,1,scene1,proxies_data,1,1,1.2702452999999991,RW_FOCUS,2,RW+VR,F+P,
14,blind,1,scene1,proxies_data,1,1,1.3333459999999988,VR_PERIPHERAL,1,VR,P,
15,blind,1,scene1,proxies_data,1,1,1.000024400000001,VR_FOCUS,2,RW+VR,F+P,
16,blind,1,scene1,proxies_data,1,1,1.4000284999999977,RW_FOCUS,2,RW,F+P,
17,blind,1,scene1,proxies_data,1,1,1.9001167999999993,RW_FOCUS,2,RW,F+P,
18,blind,1,scene1,proxies_data,1,1,1.100008299999999,RW_FOCUS,2,RW,F+P,
19,blind,1,scene1,proxies_data,1,1,0.8686909999999983,RW_PERIPHERAL,3,RW+VR,F+P,
20,blind,1,scene1,proxies_data,2,1,1.1334460000000002,VR_FOCUS,2,RW+VR,F+P,
21,blind,1,scene1,proxies_data,2,1,1.033379,RW_FOCUS,3,RW+VR,F+P,
22,blind,1,scene1,proxies_data,2,1,1.333441699999998,RW_PERIPHERAL,3,RW+VR,F+P,
23,blind,1,scene1,proxies_data,2,1,1.1000450000000015,VR_PERIPHERAL,2,RW+VR,P,
24,blind,1,scene1,proxies_data,2,1,0.9666677999999962,VR_PERIPHERAL,2,RW+VR,P,
25,blind,1,scene1,proxies_data,2,1,1.0667194999999978,RW_FOCUS,2,RW,F+P,
