,BlindOrSighted,RandomInterceptByID,Scene,Condition,Mental_Demand,Physical_Demand,Temporal_Demand,Perforamnce,Effort,Frustration,Overall
0,blind,1,scene1,proxies,10,5,5,5,10,5,7.67
1,blind,1,scene1,baseline,50,5,60,80,100,20,60.0
2,blind,1,scene1,noise_cancellation,30,5,20,30,100,5,41.0
3,blind,1,scene2,proxies,80,30,80,5,50,5,58.67
4,blind,1,scene2,baseline,100,50,100,100,100,5,93.34
5,blind,1,scene2,noise_cancellation,100,30,100,100,100,5,90.67
6,blind,1,scene3,proxies,30,5,20,20,20,5,21.67
7,blind,1,scene3,baseline,50,5,20,50,40,5,37.67
8,blind,1,scene3,noise_cancellation,20,5,5,5,5,5,9.0
9,blind,2,scene1,proxies,75,15,70,25,65,15,60.67
10,blind,2,scene1,baseline,70,15,65,20,65,15,57.34
11,blind,2,scene1,noise_cancellation,80,15,70,25,70,20,64.0
12,blind,2,scene2,proxies,80,20,70,30,55,10,60.67
13,blind,2,scene2,baseline,95,20,100,50,80,30,83.0
14,blind,2,scene2,noise_cancellation,95,20,95,50,85,40,82.0
15,blind,2,scene3,proxies,80,20,70,20,70,20,63.34
16,blind,2,scene3,baseline,85,20,80,35,80,30,69.34
17,blind,2,scene3,noise_cancellation,90,20,80,40,85,40,76.34
18,blind,3,scene1,proxies,20,10,10,40,10,10,19.34
19,blind,3,scene1,baseline,60,20,40,50,40,30,47.34
20,blind,3,scene1,noise_cancellation,70,50,70,60,60,60,65.34
21,blind,3,scene2,proxies,50,30,30,60,30,20,44.67
22,blind,3,scene2,baseline,50,40,40,50,40,30,46.0
23,blind,3,scene2,noise_cancellation,70,50,50,70,50,60,62.0
24,blind,3,scene3,proxies,10,5,30,40,10,10,18.34
25,blind,3,scene3,baseline,60,30,60,70,50,60,61.34
26,blind,3,scene3,noise_cancellation,50,5,40,50,60,30,45.0
27,blind,4,scene1,proxies,30,10,30,50,80,20,51.34
28,blind,4,scene1,baseline,60,20,30,60,80,30,57.34
29,blind,4,scene1,noise_cancellation,60,20,30,70,90,50,66.67
30,blind,4,scene2,proxies,20,10,20,20,90,20,43.34
31,blind,4,scene2,baseline,40,20,20,40,90,50,54.67
32,blind,4,scene2,noise_cancellation,70,20,20,40,90,30,52.67
33,blind,4,scene3,proxies,60,20,60,80,90,40,67.34
34,blind,4,scene3,baseline,40,20,40,60,90,60,59.34
35,blind,4,scene3,noise_cancellation,30,20,40,70,80,50,59.34
36,blind,5,scene1,proxies,20,5,50,5,100,20,38.0
37,blind,5,scene1,baseline,20,20,50,5,100,30,40.0
38,blind,5,scene1,noise_cancellation,50,5,50,5,100,60,50.34
39,blind,5,scene2,proxies,5,5,5,5,70,5,18.0
40,blind,5,scene2,baseline,30,30,30,5,60,30,32.67
41,blind,5,scene2,noise_cancellation,40,40,60,5,80,60,49.67
42,blind,5,scene3,proxies,10,10,50,5,60,50,31.67
43,blind,5,scene3,baseline,10,5,50,10,100,60,48.67
44,blind,5,scene3,noise_cancellation,35,20,50,5,100,50,37.0
45,blind,6,scene1,proxies,30,40,40,20,80,10,42.67
46,blind,6,scene1,baseline,30,30,40,20,90,10,39.34
47,blind,6,scene1,noise_cancellation,40,40,30,30,90,20,48.0
48,blind,6,scene2,proxies,30,30,30,20,80,10,34.0
49,blind,6,scene2,baseline,40,30,30,20,80,10,42.0
50,blind,6,scene2,noise_cancellation,40,30,40,20,90,20,50.0
51,blind,6,scene3,proxies,30,30,30,10,80,5,42.67
52,blind,6,scene3,baseline,40,30,40,20,90,10,50.67
53,blind,6,scene3,noise_cancellation,40,40,40,30,90,10,52.0
54,blind,7,scene1,proxies,5,5,10,10,10,5,8.0
55,blind,7,scene1,baseline,10,10,20,10,10,10,12.67
56,blind,7,scene1,noise_cancellation,10,10,20,10,30,20,15.34
57,blind,7,scene2,proxies,10,10,10,10,20,5,11.0
58,blind,7,scene2,baseline,10,10,10,20,10,10,13.34
59,blind,7,scene2,noise_cancellation,50,30,10,50,50,30,42.0
60,blind,7,scene3,proxies,20,5,5,10,20,20,12.34
61,blind,7,scene3,baseline,50,20,50,30,50,50,44.67
62,blind,7,scene3,noise_cancellation,50,20,20,30,50,70,50.0
63,blind,8,scene1,proxies,10,20,10,5,20,5,12.67
64,blind,8,scene1,baseline,10,10,10,5,15,5,9.0
65,blind,8,scene1,noise_cancellation,40,50,5,20,80,5,51.0
66,blind,8,scene2,proxies,10,20,5,5,20,5,12.67
67,blind,8,scene2,baseline,20,30,10,15,40,10,27.0
68,blind,8,scene2,noise_cancellation,60,50,60,30,65,30,53.0
69,blind,8,scene3,proxies,30,30,20,10,30,5,25.34
70,blind,8,scene3,baseline,30,40,20,20,40,10,32.67
71,blind,8,scene3,noise_cancellation,30,10,5,5,30,5,21.0
72,blind,9,scene1,proxies,40,20,30,10,30,5,30.67
73,blind,9,scene1,baseline,30,20,20,10,10,5,20.0
74,blind,9,scene1,noise_cancellation,30,20,30,20,40,10,30.67
75,blind,9,scene2,proxies,20,10,20,5,30,5,19.34
76,blind,9,scene2,baseline,60,50,45,40,80,10,50.67
77,blind,9,scene2,noise_cancellation,40,30,50,20,80,5,50.0
78,blind,9,scene3,proxies,40,40,30,10,60,5,42.67
79,blind,9,scene3,baseline,70,60,60,20,90,10,68.67
80,blind,9,scene3,noise_cancellation,60,40,60,30,40,10,48.67
81,sighted,10,scene1,proxies,50,60,60,45,40,40,53.67
82,sighted,10,scene1,baseline,80,50,75,85,75,70,77.34
83,sighted,10,scene1,noise_cancellation,65,65,70,50,60,70,63.67
84,sighted,10,scene2,proxies,40,55,65,30,45,25,48.34
85,sighted,10,scene2,baseline,70,60,80,75,75,65,74.67
86,sighted,10,scene2,noise_cancellation,60,50,70,60,65,60,64.0
87,sighted,10,scene3,proxies,80,60,75,80,70,50,75.34
88,sighted,10,scene3,baseline,95,90,95,90,85,65,91.0
89,sighted,10,scene3,noise_cancellation,85,80,90,45,75,60,81.67
90,sighted,11,scene1,proxies,30,25,25,30,30,15,28.0
91,sighted,11,scene1,baseline,80,80,75,75,75,60,77.34
92,sighted,11,scene1,noise_cancellation,75,75,80,55,55,65,69.0
93,sighted,11,scene2,proxies,80,75,80,60,90,55,77.0
94,sighted,11,scene2,baseline,65,55,55,80,75,75,66.67
95,sighted,11,scene2,noise_cancellation,35,35,35,90,55,25,57.34
96,sighted,11,scene3,proxies,25,25,20,25,35,20,23.67
97,sighted,11,scene3,baseline,70,80,75,65,60,65,70.67
98,sighted,11,scene3,noise_cancellation,90,90,90,85,85,85,86.67
99,sighted,12,scene1,proxies,25,30,30,25,45,30,28.34
100,sighted,12,scene1,baseline,20,20,20,15,60,10,33.0
101,sighted,12,scene1,noise_cancellation,25,20,20,10,55,5,32.34
102,sighted,12,scene2,proxies,10,15,15,5,55,5,27.0
103,sighted,12,scene2,baseline,15,15,15,20,55,10,29.67
104,sighted,12,scene2,noise_cancellation,25,15,15,15,55,10,31.0
105,sighted,12,scene3,proxies,30,10,30,10,40,10,28.0
106,sighted,12,scene3,baseline,40,20,20,25,70,25,43.67
107,sighted,12,scene3,noise_cancellation,90,5,70,55,75,70,69.67
108,sighted,13,scene1,proxies,35,15,15,30,35,30,32.0
109,sighted,13,scene1,baseline,40,15,15,30,30,25,31.67
110,sighted,13,scene1,noise_cancellation,55,15,15,40,45,30,43.34
111,sighted,13,scene2,proxies,35,15,15,25,25,20,27.0
112,sighted,13,scene2,baseline,55,15,15,55,45,40,47.67
113,sighted,13,scene2,noise_cancellation,55,20,20,85,85,55,70.67
114,sighted,13,scene3,proxies,30,15,15,40,40,25,33.0
115,sighted,13,scene3,baseline,45,15,15,45,45,30,41.0
116,sighted,13,scene3,noise_cancellation,55,15,15,45,45,35,45.0
117,sighted,14,scene1,proxies,20,15,15,10,20,5,16.34
118,sighted,14,scene1,baseline,55,15,15,35,55,5,40.34
119,sighted,14,scene1,noise_cancellation,45,15,15,15,45,5,33.0
120,sighted,14,scene2,proxies,25,15,5,15,25,5,19.0
121,sighted,14,scene2,baseline,55,15,15,45,55,5,44.34
122,sighted,14,scene2,noise_cancellation,55,20,20,85,85,55,70.67
123,sighted,14,scene3,proxies,25,5,15,5,20,5,14.67
124,sighted,14,scene3,baseline,75,5,45,15,75,5,54.34
125,sighted,14,scene3,noise_cancellation,55,5,25,15,55,5,37.0
126,sighted,15,scene1,proxies,60,80,70,30,70,45,63.34
127,sighted,15,scene1,baseline,85,80,90,60,95,90,86.67
128,sighted,15,scene1,noise_cancellation,85,75,80,30,80,45,70.67
129,sighted,15,scene2,proxies,60,65,70,40,35,25,49.0
130,sighted,15,scene2,baseline,95,75,80,75,75,80,83.34
131,sighted,15,scene2,noise_cancellation,90,85,75,95,95,95,93.67
132,sighted,15,scene3,proxies,55,60,60,30,35,25,45.67
133,sighted,15,scene3,baseline,80,65,80,70,80,75,77.67
134,sighted,15,scene3,noise_cancellation,75,75,85,80,75,75,78.34
135,sighted,16,scene1,proxies,95,15,80,35,35,25,62.0
136,sighted,16,scene1,baseline,95,10,100,35,85,10,73.0
137,sighted,16,scene1,noise_cancellation,90,25,90,25,35,20,65.67
138,sighted,16,scene2,proxies,70,55,65,45,30,15,53.67
139,sighted,16,scene2,baseline,70,70,20,25,35,15,50.0
140,sighted,16,scene2,noise_cancellation,65,10,65,20,45,20,38.0
